id_1,id_2,route,moto,car,rv,bus,truck
826,825,10,1.07,2.2,2.2,5.4,8.1
826,806,8,8.88,17.77,17.77,40,60
826,830,2,3.85,7.71,7.71,18.8,28.2
826,803,7,12.48,25.07,25.07,54.5,81.8
807,829,5,9.81,19.62,19.62,46,69
807,827,8,7.92,15.83,15.83,36.7,55.1
807,821,3,3.41,6.82,6.82,14.6,22
807,804,8,4.8,9.5,9.5,19,28.6
807,822,10,3.99,7.97,7.97,17.5,26.3
807,826,3,7.08,14.17,14.17,32.6,49
807,809,6,2.2,4.3,4.3,8.7,13
807,801,1,8.4,16.9,16.9,33.7,50.6
807,824,2,5.61,11.22,11.22,25.4,38.2
807,823,8,4.89,9.83,9.83,22,33.1
807,831,6,11.27,22.54,22.54,53,79.6
807,808,2,1.5,2.9,2.9,5.8,8.8
807,802,10,7.2,14.3,14.3,28.6,42.9
807,805,10,2.7,5.4,5.4,10.8,16.3
807,825,5,6.19,12.38,12.38,28.2,42.4
807,806,4,1.9,3.8,3.8,7.7,11.5
807,830,6,10.78,21.57,21.57,50.7,76
807,803,6,5.6,11.1,11.1,22.2,33.3
809,829,9,7.91,15.72,15.72,38.4,57.5
809,827,1,6.02,11.93,11.93,29.1,43.6
809,821,8,1.51,2.92,2.92,7,10.5
809,804,3,6.8,13.7,13.7,27.4,41.1
809,822,6,2.09,4.07,4.07,9.9,14.8
809,826,2,5.18,10.27,10.27,25,37.5
809,807,4,2.2,4.3,4.3,8.7,13
809,801,6,10.5,21,21,42.1,63.1
809,824,4,3.71,7.32,7.32,17.8,26.7
809,823,8,2.99,5.93,5.93,14.4,21.6
809,831,1,9.37,18.64,18.64,45.4,68.1
809,808,3,0.8,1.7,1.7,3.3,5
809,802,7,9.2,18.5,18.5,37,55.4
809,805,10,4.8,9.6,9.6,19.2,28.8
809,825,1,4.29,8.48,8.48,20.6,30.9
809,806,5,4,8,8,16,24
809,830,3,8.88,17.67,17.67,43.1,64.5
809,803,1,7.6,15.3,15.3,30.6,45.8
801,829,8,18.21,36.32,36.32,79.5,119.2
801,827,3,16.32,32.53,32.53,70.2,105.3
801,821,2,11.81,23.52,23.52,48.1,72.2
801,804,3,3.9,7.7,7.7,15.4,23.1
801,822,4,12.39,24.67,24.67,51,76.5
801,826,1,15.48,30.87,30.87,66.1,99.2
801,807,9,8.4,16.9,16.9,33.7,50.6
801,809,1,10.5,21,21,42.1,63.1
801,824,6,14.01,27.92,27.92,58.9,88.4
801,823,8,13.29,26.53,26.53,55.5,83.3
801,831,4,19.67,39.24,39.24,86.5,129.8
801,808,6,9.8,19.6,19.6,39.2,58.9
801,802,1,1.4,2.8,2.8,5.5,8.3
801,805,8,5.9,11.7,11.7,23.5,35.2
801,825,9,14.59,29.08,29.08,61.7,92.6
801,806,5,6.7,13.4,13.4,26.8,40.3
801,830,9,19.18,38.27,38.27,84.2,126.2
801,803,5,3,6,6,6.9,18
824,829,4,4.35,8.77,8.77,21.4,32.1
824,827,3,2.46,4.92,4.92,12.1,18.1
824,821,2,2.53,5.06,5.06,12.3,18.5
824,804,3,10.21,20.52,20.52,44.1,66.2
824,822,10,1.8,3.6,3.6,8.8,13.2
824,826,6,1.72,3.5,3.5,8.5,12.8
824,807,6,5.61,11.22,11.22,25.4,38.2
824,809,4,3.71,7.32,7.32,17.8,26.7
824,801,6,14.01,27.92,27.92,58.9,88.4
824,823,1,0.9,1.79,1.79,4.4,6.6
824,831,5,5.82,11.64,11.64,28.4,42.7
824,808,7,4.31,8.52,8.52,20.1,30.2
824,802,7,12.71,25.32,25.32,53.7,80.6
824,805,5,8.21,16.42,16.42,35.9,53.9
824,825,1,0.82,1.71,1.71,4.2,6.3
824,806,2,7.41,7.8,14.82,32.8,49.2
824,830,4,5.33,10.66,10.66,26,39.1
824,803,1,11.01,22.12,22.12,47.3,71
823,829,7,5,10,10,24.4,36.6
823,827,1,3.09,6.15,6.15,15.1,22.6
823,821,2,1.8,3.67,3.67,9,13.4
823,804,10,9.49,19.13,19.13,40.7,61.1
823,822,6,1.15,2.21,2.21,5.4,8.1
823,826,7,2.37,4.74,4.74,11.6,17.4
823,807,3,4.89,9.83,9.83,22,33.1
823,809,5,2.99,5.93,5.93,14.4,21.6
823,801,1,13.29,26.53,26.53,55.5,83.3
823,824,9,0.9,1.79,1.79,4.4,6.6
823,831,4,6.45,12.87,12.87,31.4,47.2
823,808,5,3.59,7.13,7.13,16.7,25.1
823,802,4,11.99,23.93,23.93,50.3,75.5
823,805,3,7.49,15.03,15.03,32.5,48.8
823,825,4,1.47,2.94,2.94,7.2,10.8
823,806,8,6.69,13.43,13.43,29.4,44.1
823,830,5,5.96,11.89,11.89,29.1,43.6
823,803,3,10.29,20.73,20.73,43.9,65.9
831,829,6,1.72,3.36,3.36,8.3,12.4
831,827,10,3.52,7.04,7.04,17.2,25.7
831,821,9,8.08,16.15,16.15,39.4,59.1
831,804,9,15.87,31.84,31.84,71.7,107.6
831,822,6,7.36,14.68,14.68,35.9,53.8
831,826,7,4.35,8.69,8.69,21.2,31.8
831,807,1,11.27,22.54,22.54,53,79.6
831,809,9,9.37,18.64,18.64,45.4,68.1
831,801,2,19.67,39.24,39.24,86.5,129.8
831,824,3,5.82,11.64,11.64,28.4,42.7
831,823,5,6.45,12.87,12.87,31.4,47.2
831,808,6,9.97,19.84,19.84,47.7,71.6
831,802,7,18.37,36.64,36.64,81.3,122
831,805,9,13.87,27.74,27.74,63.5,95.3
831,825,6,5.17,10.33,10.33,25.2,37.9
831,806,5,13.07,26.14,26.14,60.4,90.6
831,830,1,0.74,1.39,1.39,3.5,5.2
831,803,6,16.67,33.44,33.44,74.9,112.4
808,829,5,8.51,16.92,16.92,40.7,61
808,827,1,6.62,13.13,13.13,31.4,47.1
808,821,6,2.11,4.12,4.12,9.3,14
808,804,5,6.1,12.3,12.3,24.6,36.8
808,822,3,2.69,5.27,5.27,12.2,18.3
808,826,9,5.78,11.47,11.47,27.3,41
808,807,2,1.5,2.9,2.9,5.8,8.8
808,809,9,0.8,1.7,1.7,3.3,5
808,801,3,9.8,19.6,19.6,39.2,58.9
808,824,1,4.31,8.52,8.52,20.1,30.2
808,823,7,3.59,7.13,7.13,16.7,25.1
808,831,4,9.97,19.84,19.84,47.7,71.6
808,802,5,8.5,17.1,17.1,34.1,51.2
808,805,2,4.1,8.2,8.2,16.4,24.5
808,825,4,4.89,9.68,9.68,22.9,34.4
808,806,10,3.3,6.6,6.6,13.2,19.8
808,830,4,9.48,18.87,18.87,45.4,68
808,803,7,6.9,13.9,13.9,27.7,41.6
802,829,9,16.91,33.72,33.72,74.3,111.4
802,827,7,15.02,29.93,29.93,65,97.5
802,821,10,10.51,20.92,20.92,42.9,64.4
802,804,6,2.6,5.2,5.2,10.3,15.5
802,822,4,11.09,22.07,22.07,45.8,68.7
802,826,1,14.18,28.27,28.27,60.9,91.4
802,807,7,7.2,14.3,14.3,28.6,42.9
802,809,1,9.2,18.5,18.5,37,55.4
802,801,8,1.4,2.8,2.8,5.5,8.3
802,824,10,12.71,25.32,25.32,53.7,80.6
802,823,2,11.99,23.93,23.93,50.3,75.5
802,831,1,18.37,36.64,36.64,81.3,122
802,808,3,8.5,17.1,17.1,34.1,51.2
802,805,4,4.6,9.2,9.2,18.4,27.6
802,825,6,13.29,26.48,26.48,55.9,84.8
802,806,6,5.4,10.9,10.9,21.7,32.6
802,830,3,17.88,35.67,35.67,79,118.4
802,803,2,1.7,3.4,3.4,6.9,10.3
805,829,7,12.41,24.82,24.82,56.5,84.7
805,827,4,10.52,21.03,21.03,47.2,70.8
805,821,9,6.01,12.02,12.02,25.1,37.7
805,804,10,2.2,4.4,4.4,8.8,13.2
805,822,2,6.59,13.17,13.17,28,42
805,826,2,9.68,19.37,19.37,43.1,64.7
805,807,10,2.7,5.4,5.4,10.8,16.3
805,809,9,4.8,9.6,9.6,19.2,28.8
805,801,9,5.9,11.7,11.7,23.5,35.2
805,824,5,8.21,16.42,16.42,35.9,53.9
805,823,7,7.49,15.03,15.03,32.5,48.8
805,831,8,13.87,27.74,27.74,63.5,95.3
805,808,2,4.1,8.2,8.2,16.4,24.5
805,802,5,4.6,9.2,9.2,18.4,27.6
805,825,5,8.79,17.58,17.58,38.7,58.1
805,806,1,1,2,2,4,5.9
805,830,5,13.38,26.77,26.77,61.2,91.7
805,803,1,3,6,6,12,17.9
825,829,2,3.69,7.46,7.46,18.2,27.3
825,827,9,1.8,3.65,3.65,8.9,13.4
825,821,1,3.11,6.22,6.22,15.2,22.8
825,804,2,10.79,21.68,21.68,46.9,70.4
825,822,8,2.38,4.76,4.76,11.6,17.4
825,826,6,1.07,2.2,2.2,5.4,8.1
825,807,1,6.19,12.38,12.38,28.2,42.4
825,809,6,4.29,8.48,8.48,20.6,30.9
825,801,6,14.59,29.08,29.08,61.7,92.6
825,824,3,0.82,1.71,1.71,4.2,6.3
825,823,6,1.47,2.94,2.94,7.2,10.8
825,831,9,5.17,10.33,10.33,25.2,37.9
825,808,8,4.89,9.68,9.68,22.9,34.4
825,802,1,13.29,26.48,26.48,56.5,84.8
825,805,8,8.79,17.58,17.58,38.7,58.1
825,806,7,7.99,15.98,15.98,35.6,53.4
825,830,3,4.67,9.35,9.35,22.9,34.3
825,803,10,11.59,23.28,23.28,50.1,75.2
806,829,9,11.61,23.22,23.22,53.4,80
806,827,5,9.72,19.43,19.43,44.1,66.1
806,821,10,5.21,10.42,10.42,22,33
806,804,1,3,6.1,6.1,12.2,18.2
806,822,7,5.79,11.57,11.57,24.9,37.3
806,826,10,8.88,17.77,17.77,40,60
806,807,1,1.9,3.8,3.8,7.7,11.5
806,809,10,4,8,8,16,24
806,801,7,6.7,13.4,13.4,26.8,40.3
806,824,6,7.41,14.82,14.82,32.8,49.2
806,823,5,6.69,13.43,13.43,29.4,44.1
806,831,9,13.07,26.14,26.14,60.4,90.6
806,808,8,3.3,6.6,6.6,13.2,19.8
806,802,10,5.4,10.9,10.9,21.7,32.6
806,805,5,1,2,2,4,5.9
806,825,2,7.99,15.98,15.98,35.6,53.4
806,830,6,12.58,25.17,25.17,58.1,87
806,803,7,3.8,7.7,7.7,15.3,23
830,829,6,1.23,2.38,2.38,5.9,8.8
830,827,8,3.03,6.06,6.06,14.8,22.2
830,821,7,7.59,15.17,15.17,37,55.5
830,804,9,15.38,30.87,30.87,69.4,104
830,822,10,6.87,13.74,13.74,33.5,50.3
830,826,10,3.85,7.71,7.71,18.8,28.2
830,807,4,10.78,21.57,21.57,50.7,76
830,809,8,8.88,17.67,17.67,43.1,64.5
830,801,9,19.18,38.27,30.27,84.2,126.2
830,824,4,5.33,10.66,10.66,26,39.1
830,823,5,5.96,11.89,11.89,29.1,43.6
830,831,5,0.74,1.39,1.39,3.5,5.2
830,808,6,9.48,18.87,18.87,45.4,68
830,802,8,17.88,35.67,35.67,79,118.4
830,805,6,13.38,26.77,26.77,61.2,91.7
830,806,3,12.58,25.17,25.17,58.1,87
830,803,7,16.18,32.47,32.47,72.6,108.8
803,829,10,15.21,30.52,30.52,67.9,101.8
803,827,6,13.32,26.73,26.73,58.6,87.9
803,821,1,8.81,17.72,17.72,36.5,54.8
803,804,9,1,2,2,3.9,5.9
803,822,4,9.39,18.87,18.87,39.4,59.1
803,826,3,12.48,25.07,25.07,54.5,81.8
803,807,5,5.6,11.1,11.1,22.2,33.3
803,809,5,7.6,15.3,15.3,30.6,45.8
803,801,7,3,6,6,12,18
803,824,1,11.01,22.12,22.12,47.3,71
803,823,4,10.29,20.73,20.73,43.9,65.9
803,831,3,16.67,33.44,33.44,74.9,112.4
803,808,8,6.9,13.9,13.9,27.7,41.6
803,802,3,1.7,3.4,3.4,6.9,10.3
803,805,4,3,6,6,12,17.9
803,825,3,11.59,23.28,23.28,50.1,75.2
803,806,9,3.8,7.7,7.7,15.3,23
803,830,1,16.18,32.47,32.47,72.6,108.8
